GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
310M300US19340,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",54629,890
310M300US19380,19380,"Dayton, OH Metro Area",51204,576
310M300US19460,19460,"Decatur, AL Metro Area",46725,1364
310M300US19500,19500,"Decatur, IL Metro Area",49052,1793
310M300US19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",45016,663
310M300US19740,19740,"Denver-Aurora-Lakewood, CO Metro Area",71884,430
310M300US19780,19780,"Des Moines-West Des Moines, IA Metro Area",65971,724
310M300US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",56339,303
310M300US20020,20020,"Dothan, AL Metro Area",42431,770
310M300US20100,20100,"Dover, DE Metro Area",57647,1456
310M300US20220,20220,"Dubuque, IA Metro Area",59150,1287
310M300US20260,20260,"Duluth, MN-WI Metro Area",51785,750
310M300US20500,20500,"Durham-Chapel Hill, NC Metro Area",57600,1054
310M300US20700,20700,"East Stroudsburg, PA Metro Area",61430,1956
310M300US20740,20740,"Eau Claire, WI Metro Area",53219,1287
310M300US20940,20940,"El Centro, CA Metro Area",44779,1850
310M300US21060,21060,"Elizabethtown-Fort Knox, KY Metro Area",51441,1230
310M300US21140,21140,"Elkhart-Goshen, IN Metro Area",52449,1232
310M300US21300,21300,"Elmira, NY Metro Area",51251,1531
310M300US21340,21340,"El Paso, TX Metro Area",43170,672
310M300US21420,21420,"Enid, OK Metro Area",50724,1975
310M300US21500,21500,"Erie, PA Metro Area",48192,1037
310M300US21660,21660,"Eugene, OR Metro Area",47710,857
310M300US21780,21780,"Evansville, IN-KY Metro Area",49873,1004
310M300US21820,21820,"Fairbanks, AK Metro Area",76250,2761
310M300US22020,22020,"Fargo, ND-MN Metro Area",59074,1966
310M300US22140,22140,"Farmington, NM Metro Area",49686,1618
310M300US22180,22180,"Fayetteville, NC Metro Area",44883,787
310M300US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",52551,813
310M300US22380,22380,"Flagstaff, AZ Metro Area",53523,2500
310M300US22420,22420,"Flint, MI Metro Area",45231,666
310M300US22500,22500,"Florence, SC Metro Area",40888,1007
310M300US22520,22520,"Florence-Muscle Shoals, AL Metro Area",45090,1139
310M300US22540,22540,"Fond du Lac, WI Metro Area",57798,1461
310M300US22660,22660,"Fort Collins, CO Metro Area",64980,1414
310M300US22900,22900,"Fort Smith, AR-OK Metro Area",40686,881
310M300US23060,23060,"Fort Wayne, IN Metro Area",51642,562
310M300US23420,23420,"Fresno, CA Metro Area",48730,655
310M300US23460,23460,"Gadsden, AL Metro Area",42064,1487
310M300US23540,23540,"Gainesville, FL Metro Area",45323,1441
310M300US23580,23580,"Gainesville, GA Metro Area",55622,1940
310M300US23900,23900,"Gettysburg, PA Metro Area",62661,1660
310M300US24020,24020,"Glens Falls, NY Metro Area",56608,1868
310M300US24140,24140,"Goldsboro, NC Metro Area",41766,1480
310M300US24220,24220,"Grand Forks, ND-MN Metro Area",52377,1351
310M300US24260,24260,"Grand Island, NE Metro Area",54479,1230
310M300US24300,24300,"Grand Junction, CO Metro Area",51971,1350
310M300US24340,24340,"Grand Rapids-Wyoming, MI Metro Area",58094,655
310M300US24420,24420,"Grants Pass, OR Metro Area",40705,2203
310M300US24500,24500,"Great Falls, MT Metro Area",46827,1361
310M300US24540,24540,"Greeley, CO Metro Area",66489,1582
310M300US24580,24580,"Green Bay, WI Metro Area",56831,1029
310M300US24660,24660,"Greensboro-High Point, NC Metro Area",47145,610
310M300US24780,24780,"Greenville, NC Metro Area",43526,1420
310M300US24860,24860,"Greenville-Anderson-Mauldin, SC Metro Area",49371,690
310M300US25060,25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",46951,1048
310M300US25180,25180,"Hagerstown-Martinsburg, MD-WV Metro Area",58843,1350
310M300US25220,25220,"Hammond, LA Metro Area",45901,2690
310M300US25260,25260,"Hanford-Corcoran, CA Metro Area",49742,1744
310M300US25420,25420,"Harrisburg-Carlisle, PA Metro Area",60978,847
310M300US25500,25500,"Harrisonburg, VA Metro Area",52264,1566
310M300US25540,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",73209,605
310M300US25620,25620,"Hattiesburg, MS Metro Area",45546,1931
310M300US25860,25860,"Hickory-Lenoir-Morganton, NC Metro Area",44326,1079
310M300US25940,25940,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",56945,1605
310M300US25980,25980,"Hinesville, GA Metro Area",45212,2013
310M300US26140,26140,"Homosassa Springs, FL Metro Area",40574,1147
310M300US26300,26300,"Hot Springs, AR Metro Area",41672,1593
310M300US26380,26380,"Houma-Thibodaux, LA Metro Area",50013,1511
310M300US26420,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",62922,363
310M300US26580,26580,"Huntington-Ashland, WV-KY-OH Metro Area",44315,1045
310M300US26620,26620,"Huntsville, AL Metro Area",59583,1376
310M300US26820,26820,"Idaho Falls, ID Metro Area",54663,1406
310M300US26900,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",56528,542
310M300US26980,26980,"Iowa City, IA Metro Area",59800,1630
310M300US27060,27060,"Ithaca, NY Metro Area",56200,1682
310M300US27100,27100,"Jackson, MI Metro Area",49715,1516
310M300US27140,27140,"Jackson, MS Metro Area",49381,881
310M300US27180,27180,"Jackson, TN Metro Area",43552,1953
310M300US27260,27260,"Jacksonville, FL Metro Area",56449,656
310M300US27340,27340,"Jacksonville, NC Metro Area",48162,1509
310M300US27500,27500,"Janesville-Beloit, WI Metro Area",53410,1255
310M300US27620,27620,"Jefferson City, MO Metro Area",53680,1131
310M300US27740,27740,"Johnson City, TN Metro Area",40429,972
310M300US27780,27780,"Johnstown, PA Metro Area",44943,969
310M300US27860,27860,"Jonesboro, AR Metro Area",43649,1523
310M300US27900,27900,"Joplin, MO Metro Area",45913,1397
