month,2012,2013,2014,2015,2016,2017,2018
2012-01,1.264928026016239,,,,,,
2012-02,1.2732945631148203,,,,,,
2012-03,1.2607106225052396,,,,,,
2012-04,1.2609555968630337,,,,,,
2012-05,1.2345215666446117,,,,,,
2012-06,1.2203859681788016,,,,,,
2012-07,1.232178233177842,,,,,,
2012-08,1.2429080925457558,,,,,,
2012-09,1.2430441788816722,,,,,,
2012-10,1.2648621399205195,,,,,,
2012-11,1.26445331787409,,,,,,
2012-12,1.2255050074449858,,,,,,
2013-01,1.2526031019300967,1.288192952383443,,,,,
2013-02,1.204004166153364,1.2638444191257958,,,,,
2013-03,1.2048527855894233,1.2442709603996327,,,,,
2013-04,1.1760012391612078,1.1826402428688574,,,,,
2013-05,1.1799661168425977,1.1622637603734765,,,,,
2013-06,1.188881909490288,1.172134204052455,,,,,
2013-07,1.1755226947127475,1.1599671928299902,,,,,
2013-08,1.1728327548457431,1.1686235880682936,,,,,
2013-09,1.1648064502608653,1.1381270073124585,,,,,
2013-10,1.1840677882645814,1.1517434747665103,,,,,
2013-11,1.191770308445578,1.1588149046508696,,,,,
2013-12,1.162436504719298,1.1489964417969,,,,,
2014-01,1.1677578204574461,1.1619462693128138,1.1503293920440623,,,,
2014-02,1.2018334954858627,1.1603479307846283,1.156884708646961,,,,
2014-03,1.1644722885374912,1.1590421937103914,1.0957208972291335,,,,
2014-04,1.190805571749898,1.195555888727555,1.14728946057174,,,,
2014-05,1.1806143598670482,1.1870274721826317,1.1338344974455994,,,,
2014-06,1.1765910056644138,1.1677806798778976,1.126275146019754,,,,
2014-07,1.1114564202522212,1.1459534382829841,1.100824523052857,,,,
2014-08,1.0964428434792133,1.1101573967464233,1.0729945381763057,,,,
2014-09,1.1202393199151648,1.1383219626471999,1.109141831879531,,,,
2014-10,1.1820648371693663,1.2017149281995083,1.2568778060864512,,,,
2014-11,1.1960663804279912,1.1844134647555533,1.2581176637051914,,,,
2014-12,1.188226526590418,1.153529476858864,1.2118599925205098,,,,
