month,2012,2013,2014,2015,2016,2017,2018
2012-01,1.3019618422043884,,,,,,
2012-02,1.3095123870872614,,,,,,
2012-03,1.3047566057832012,,,,,,
2012-04,1.3246743251271667,,,,,,
2012-05,1.3165215743819951,,,,,,
2012-06,1.3107047559781058,,,,,,
2012-07,1.304939491707968,,,,,,
2012-08,1.2924450890376886,,,,,,
2012-09,1.2899992022737063,,,,,,
2012-10,1.2982096748787932,,,,,,
2012-11,1.2842720733967314,,,,,,
2012-12,1.3165986565523373,,,,,,
2013-01,1.3436874480449643,1.3425157690567262,,,,,
2013-02,1.347203256198794,1.3451501233228,,,,,
2013-03,1.352191567570392,1.348838020192093,,,,,
2013-04,1.3392823194581296,1.339347479504566,,,,,
2013-05,1.351312742318189,1.3679811527148455,,,,,
2013-06,1.3555320956022592,1.385328449103462,,,,,
2013-07,1.384622821062965,1.4190893966292786,,,,,
2013-08,1.4192157703869244,1.4919777209098184,,,,,
2013-09,1.423029743920967,1.5019076939232825,,,,,
2013-10,1.3973082283394351,1.47221651378683,,,,,
2013-11,1.4770798362946573,1.5518499276747317,,,,,
2013-12,1.5011097661785338,1.5879096360112057,,,,,
2014-01,1.5181955093010284,1.5978448156821135,1.6210697805007253,,,,
2014-02,1.5323252751319096,1.595874060365727,1.6122370998803637,,,,
2014-03,1.545439755138903,1.611402485909001,1.646938620658307,,,,
2014-04,1.5271593574697493,1.6009225559998044,1.6383158209359607,,,,
2014-05,1.551504423608158,1.622507432345308,1.669889085307538,,,,
2014-06,1.5204820466427387,1.5886733804625082,1.643322926571407,,,,
2014-07,1.5246159069135237,1.5937409088601926,1.651628247157761,,,,
2014-08,1.5234992303317259,1.5744549935702499,1.6267021907909993,,,,
2014-09,1.5279193475463524,1.5895373351040576,1.6368687197778682,,,,
2014-10,1.5725071686473115,1.6437741459122905,1.712423854805808,,,,
2014-11,1.584813389665439,1.6571125576775525,1.7901752039028458,,,,
2014-12,1.5966001886589347,1.650993861676803,1.8098811014784282,,,,
2015-01,1.5970568289539098,1.658535131209179,1.8336444094216837,1.7076821514147038,,,
2015-02,1.5955395598661057,1.6679147167493122,1.8505259402621614,1.7772884719296111,,,
2015-03,1.567411299921674,1.637566655323283,1.7915969043949769,1.7372948817881066,,,
2015-04,1.5642468392162885,1.6177371534715776,1.7416013515556186,1.7076772522991994,,,
2015-05,1.5847805781511273,1.6298310631348214,1.7600271946086794,1.7178383021707857,,,
2015-06,1.5906337340504257,1.6499630801518648,1.7884746091823662,1.749740007634285,,,
2015-07,1.5819256093402219,1.656559489000903,1.7689634394531617,1.7432425936347464,,,
2015-08,1.5755199269967604,1.6442871853827765,1.7585700651820253,1.7142676343885985,,,
2015-09,1.546593701190641,1.6226526967386579,1.7405807025149742,1.6726436022780344,,,
2015-10,1.541234371665848,1.6046187916654289,1.7321816512559547,1.6752425178669996,,,
2015-11,1.51476056214581,1.586482889581811,1.7078498902739254,1.6258993674921105,,,
2015-12,1.5269156861079742,1.5635447537394633,1.6900261929459042,1.611507141535598,,,
2016-01,1.5562992888674183,1.6151742318383255,1.70089615476956,1.6718701726334886,1.5899242684190664,,
2016-02,1.5455604046039806,1.6060004230773754,1.6488635276448254,1.6635323505113653,1.6275744608962412,,
2016-03,1.5428520092552132,1.5709424062080286,1.6570075590834372,1.6402002488453526,1.66821251569712,,
2016-04,1.584175859733438,1.6176668687567601,1.7022657393879725,1.6849810952929325,1.7597656445827097,,
2016-05,1.528873195158014,1.5783859505683964,1.6824549592024984,1.65743261153282,1.6605355530068455,,
2016-06,1.561183754548819,1.6104962196201702,1.7491979406455727,1.6840912262379892,1.6782706498515079,,
2016-07,1.5111079993902643,1.562070000592166,1.69246838661792,1.6355575244914018,1.6204481488045843,,
2016-08,1.5669695459840909,1.5998087439972384,1.7423845977330046,1.7029610966924371,1.6580753849313712,,
2016-09,1.4695555446259498,1.5312285689687057,1.6573950104999864,1.6252011527960477,1.6136746029666384,,
2016-10,1.5024578876546162,1.5510083773054324,1.6650172933486085,1.687802310215734,1.6720054154539998,,
2016-11,1.465253859340448,1.501537475972177,1.602843771801488,1.624050439720234,1.574819185454114,,
2016-12,1.4597955149437745,1.4926208732156523,1.6189765596195826,1.6201384642020489,1.5564411377896539,,
2017-01,1.4426510883888044,1.4819649636565557,1.5942619838554717,1.6319246808145549,1.5398931404572787,1.5063106725861324,
2017-02,1.4715256810222836,1.5018240509472607,1.62499642967662,1.6494714573869096,1.5746936774864866,1.5398840963713754,
2017-03,1.4722513980674978,1.5159325439011915,1.6421518953554899,1.647019496427494,1.5778705849061678,1.5316440959546933,
2017-04,1.5203623288450787,1.5540014647501448,1.6887496338002574,1.677411166677183,1.629292969991252,1.5996471540597679,
2017-05,1.484620462856855,1.5213044057998435,1.6451293597266283,1.638911300613804,1.5835966484653148,1.581756032803509,
2017-06,1.4666477928124528,1.5093086993866913,1.6343708668597399,1.6111580866768915,1.5716088278884353,1.561745265239811,
2017-07,1.477264314218682,1.5235435510345952,1.6449085487989508,1.6308253712595537,1.5782183188474996,1.562531601659656,
2017-08,1.5048913375399058,1.5530825867112938,1.6463133600503104,1.6588756482020595,1.5881462604712016,1.5845272386554046,
2017-09,1.5404534674875052,1.5798692334453335,1.7070805007129937,1.6882552403800417,1.6379705398227515,1.6273975643766811,
2017-10,1.513929536579962,1.5532983768428767,1.6962960165951086,1.6532327502963087,1.5957516805248608,1.616806355824387,
2017-11,1.4973918690098607,1.5488766486405048,1.6650309320760122,1.621892573466548,1.590904634549489,1.6092455254856692,
2017-12,1.4795514630906716,1.5399516601324086,1.6648470543438514,1.5907755050524743,1.5794285626799964,1.5975291450591982,
2018-01,1.4668065853386196,1.5321213539162566,1.6403239780790884,1.597078575094602,1.568472137162576,1.6042979807144753,1.5791531629815085
2018-02,1.5028075180066933,1.557748238021842,1.6581451405837793,1.619262346622975,1.606774920141608,1.6210395743208126,1.6092005811226466
2018-03,1.49064943844784,1.5638720358401732,1.6540168531543078,1.6147021493390676,1.6144952579375818,1.6161871827827687,1.6012793017434337
2018-04,1.501730360291693,1.5766577525060061,1.6637983415368505,1.627484470836868,1.6177498995881463,1.6411512621760447,1.6415883396198312
2018-05,1.5007910204539876,1.5875258188204822,1.6763928929088747,1.6412138806522336,1.6335888731459474,1.656872773045692,1.6803783323672707
2018-06,1.4789656442256014,1.5587700551638815,1.6443320200825233,1.623462415176757,1.6216250387087003,1.6205263494928122,1.6652371291822046
2018-07,1.5096720068894303,1.581540166901765,1.6697111788099666,1.6416592593525705,1.6389832215224354,1.6192349226641973,1.6621150842838268
2018-08,1.5104218211237799,1.580721521241389,1.6768486939151288,1.6466958042778057,1.6427940139171837,1.6333441717138615,1.6463363734172876
2018-09,1.4669509391144253,1.5286644609179203,1.6220264815584502,1.599063089758525,1.580569236100556,1.5885201501441808,1.607367520743672
2018-10,1.5045868094346013,1.5562190893909713,1.6546944492536244,1.6314972887659418,1.627697852409489,1.6246621656080789,1.6271608215155278
2018-11,1.4898855379883773,1.5248147178263018,1.6260148521297886,1.6032288985010894,1.599047381187286,1.5951290712697168,1.600664121996801
2018-12,1.5214011647084025,1.565944851340613,1.646488858946697,1.6312481287041727,1.6285230373411013,1.6302911603950967,1.6377515869792185
