confound,avg_abs_z_score,num_comments
0,1.33782095086583,37802042
1,1.4358082985696825,39003890
2,1.452956323189179,32274740
3,1.4577269849924062,28220423
4,1.4626346255814806,25295431
5,1.4624991833089869,22986480
6,1.463760404367054,21148464
7,1.4688323308401607,19577020
8,1.4667628903385186,18280143
9,1.4667217778370598,17068969
10,1.4609140313797602,16048441
11,1.461814496767269,15121007
12,1.4634950601418295,14267782
13,1.462852512147097,13473610
14,1.462524427045538,12797213
15,1.4578729336655023,12186091
16,1.4570357073364262,11573991
17,1.456199029105293,11019536
18,1.451621107182354,10555863
19,1.4488433007264343,10107516
20,1.4461886228621286,9662845
21,1.446696963709214,9266291
22,1.4461158085134331,8876055
23,1.4454581737854098,8557339
24,1.4455923625237723,8258794
25,1.4439918190324852,7946587
26,1.4468468848063587,7634467
27,1.4405493923304975,7334237
28,1.4372895667286811,7055385
29,1.431761971129505,6779978
30,1.4293547609850423,6513627
31,1.4295862770275456,6297200
32,1.4308209766123972,6057280
33,1.423165856181501,5842784
34,1.4199963420326307,5663645
35,1.4157264911460965,5462165
36,1.4151301051359284,5256377
37,1.4079020809768152,5080865
38,1.406243158376273,4909092
39,1.3956871612819777,4740279
40,1.389081102865797,4594071
41,1.389030880100146,4459743
42,1.3845251667151477,4331505
43,1.3828620263717035,4183791
44,1.383397661592984,4024442
45,1.3756349799762773,3927611
